Country,Required,Recommended
Afghanistan,Yellow Fever,
Albania,,
Algeria,Yellow Fever,
Andorra,,
Angola,Yellow Fever,Malaria
Antigua and Barbuda,,
Argentina,,
Armenia,,tetanus
Australia,,tetanus
Austria,,tick-borne encephalitis;diphtheria
Azerbaijan,,tetanus
Bahamas,Yellow Fever,
Bahrain,Yellow Fever,
Bangladesh,,
Barbados,,Chikungunya;tetanus
Belarus,,tick-borne encephalitis 
Belgium,,tick-borne encephalitis;diphtheria
Belize,,Chikungunya
Benin,Yellow Fever,Malaria
Bhutan,,
Bolivia,Yellow Fever,Chikungunya
Bosnia and Herzegovina,,tick-borne encephalitis;tetanus
Botswana,,
Brazil,,Chikungunya
Brunei,,
Bulgaria,,tick-borne encephalitis;tetanus;diphtheria
Burkina Faso,Yellow Fever,Malaria;Chikungunya
Burundi,Yellow Fever,Malaria
Cabo Verde,,
Cambodia,,Chikungunya
Cameroon,Yellow Fever,Malaria;Chikungunya
Canada,,
Central African Republic,Yellow Fever,Malaria
Chad,Yellow Fever,Malaria;Chikungunya
Chile,,
China,,Chikungunya;tick-borne encephalitis
Colombia,Yellow Fever,Chikungunya
Comoros,,Malaria;tetanus
Congo,Yellow Fever,Malaria;Chikungunya
Costa Rica,,Chikungunya
Côte d'Ivoire,Yellow Fever,Malaria
Croatia,,tick-borne encephalitis;tetanus;diphtheria
Cuba,,
Cyprus,,tetanus;diphtheria
Czechia,,tetanus;diphtheria
Congo,,
Denmark,,tick-borne encephalitis;tetanus;diphtheria
Djibouti,,Malaria;Chikungunya
Dominica,,
Dominican Republic,,
Ecuador,Yellow Fever,Chikungunya
Egypt,,
El Salvador,,
Equatorial Guinea,Yellow Fever,Malaria
Eritrea,Yellow Fever,Chikungunya
Estonia,,tick-borne encephalitis;tetanus;diphtheria
Eswatini,,
Ethiopia,,Chikungunya
Fiji,Yellow Fever,
Finland,,tick-borne encephalitis;tetanus;diphtheria
France,,tick-borne encephalitis;tetanus;diphtheria
Gabon,Yellow Fever,Malaria;Chikungunya
Gambia,Yellow Fever,Malaria;Chikungunya
Georgia,,
Germany,,tick-borne encephalitis;tetanus;diphtheria
Ghana,Yellow Fever,Malaria;Chikungunya
Greece,,tick-borne encephalitis;tetanus;diphtheria
Grenada,,
Guatemala,,Chikungunya
Guinea,Yellow Fever,Malaria
Guinea-Bissau,Yellow Fever,Malaria
Guyana,Yellow Fever,
Haiti,,Malaria
Holy See,,
Honduras,,
Hungary,,tick-borne encephalitis;tetanus;diphtheria
Iceland,,tetanus;diphtheria
India,,Chikungunya
Indonesia,,Chikungunya
Iran,,
Iraq,Yellow Fever,
Ireland,,tetanus;diphtheria
Israel,,
Italy,,tick-borne encephalitis;tetanus;diphtheria
Jamaica,Yellow Fever,Chikungunya
Japan,,tick-borne encephalitis 
Jordan,,
